||rk||2 / ||r0|||2;||ek||A
0.000104195;1.08611
9.12539e-05;1.08588
7.51849e-05;1.08572
5.78764e-05;1.08562
4.52505e-05;1.08555
3.96423e-05;1.0855
3.39894e-05;1.08547
3.12372e-05;1.08545
3.15963e-05;1.08543
3.50943e-05;1.0854
4.32852e-05;1.08537
5.0051e-05;1.08532
5.97877e-05;1.08524
7.71291e-05;1.08512
0.000104384;1.08493
0.000129952;1.08465
0.000156999;1.08418
0.000181996;1.08343
0.000207239;1.08245
0.000213709;1.08141
0.000184358;1.08044
0.000151934;1.07975
0.000123338;1.07934
9.41014e-05;1.0791
7.21181e-05;1.07894
5.62227e-05;1.07883
4.78598e-05;1.07877
4.08925e-05;1.07872
3.70053e-05;1.07869
3.88041e-05;1.07865
4.61116e-05;1.07861
5.55357e-05;1.07855
6.40862e-05;1.07847
8.01818e-05;1.07835
9.65745e-05;1.07816
0.000106434;1.07793
0.000121079;1.07761
0.000136708;1.07723
0.000135715;1.07684
0.000124229;1.07646
0.000110785;1.07612
9.91976e-05;1.07585
9.87677e-05;1.07564
8.78585e-05;1.07547
9.29172e-05;1.07527
0.00010446;1.07506
0.000113497;1.07479
0.000124656;1.07443
0.000148049;1.07394
0.000166816;1.07338
0.000172633;1.07279
0.000154439;1.07216
0.000143731;1.0716
0.000127134;1.0712
0.000104709;1.07089
8.56286e-05;1.07067
7.05463e-05;1.07054
5.81888e-05;1.07045
4.70557e-05;1.07038
4.17196e-05;1.07033
3.75155e-05;1.07029
3.77218e-05;1.07025
3.96263e-05;1.07022
4.49857e-05;1.07018
5.44664e-05;1.07012
6.98987e-05;1.07003
8.03226e-05;1.06991
9.69701e-05;1.06971
0.000110276;1.06946
0.000105146;1.06919
8.71296e-05;1.06898
7.24286e-05;1.06881
6.38374e-05;1.0687
5.76612e-05;1.06862
5.19323e-05;1.06854
5.71669e-05;1.06846
6.75084e-05;1.06838
7.90973e-05;1.06827
9.03143e-05;1.06811
0.000112311;1.06787
0.000128372;1.06756
0.000140244;1.06711
0.000143124;1.06659
0.000149292;1.06609
0.0001376;1.06566
0.000123824;1.06524
0.000106079;1.06488
9.23697e-05;1.06464
7.89886e-05;1.06448
6.08294e-05;1.06437
4.81726e-05;1.06431
3.97131e-05;1.06427
3.14655e-05;1.06424
3.11364e-05;1.06421
3.19269e-05;1.06419
3.69146e-05;1.06416
4.11721e-05;1.06413
5.16132e-05;1.06407
6.42859e-05;1.06399
8.10058e-05;1.06387
0.000102682;1.06366
0.000130215;1.06327
0.000161034;1.06266
